RowID,ResponseId,Q3_subfield,Q4_quantqual,Q6_definition,exclude,data-new,methods-same,context-new,result-similar,data-same,methods-varied,context-same,result-same,results-combined,replicable-nasem,data-method-result,data-method,data-results,method-results,open-repeatable,validate-external,unique-space-time,validate-internal,epistemology,reproduction
200,R_10VJBUOrqWGhdYM,Human geography,Qualitative,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,R_1f8jSTA2aO4BrIu,Human geography,Qualitative,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,R_1g1qq1sif8LrQUw,Human geography,Qualitative,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,R_1i8aZr3VnHDhlBc,"Physical geography, earth and environmental sciences",Mixed Methods,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,R_1K1DmlmYvBngzly,"Geographic methods, GIS, spatial statistics",Quantitative,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,R_1lzR4paihQzfLPc,"Physical geography, earth and environmental sciences",Quantitative,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,R_1resBgU4l3l300v,"Geographic methods, GIS, spatial statistics",Quantitative,Like an apple is falling towards the Earth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,R_20Zrza4J6xJjNXG,"Physical geography, earth and environmental sciences",Mixed Methods,The data we collect from the field and also generated out of the morphometric studies can be used in multiple ways to strengthening our interpretation or to prove the notions with multiple parameters.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,R_2afpzVjvgePdHUN,human geography,Quantitative,To be able to reproduce a process or a system,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,R_2dTkPvya1BjKlvi,Nature and society,Qualitative,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,R_2QiKqRFpw6DWs0B,"Geographic methods, GIS, spatial statistics",Mixed Methods,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,R_32JWfrD9xNtlcoc,Nature and society,Quantitative,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,R_3CPcL0lTQJo9TVP,"Physical geography, earth and environmental sciences",Mixed Methods,ability of a different team to replicate your results,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,R_3HGsYPHfQ7P2EQT,Nature and society,Mixed Methods,Policy transfer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,R_3m3mizoCOGe7lyi,"Physical geography, earth and environmental sciences",Mixed Methods,cycles and recurrence of similar events,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,R_3s0KrPYI9sPEsZE,"Physical geography, earth and environmental sciences",Quantitative,permanent or sustainable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
