RowID,ResponseId,Q6_definition,exclude,open-repeatable,result-same,result-similar,data-same,data-new,context-new,methods-same,methods-varied,validate-external,unique-space-time,context-same,validate-internal,epistemology,notes
1,R_2Y6bjlpycRPhJLG,"I do qualitative human geography work--most of my work is not focused on being replicable in a strictly positivist context and which aligns with quantitative methods.  Within that context is that you design experiments or run tests that if someone else did the same thing with the data, or with their own data, you would get largely similar results.",,,,1,1,1,,1,,,,,,,
2,R_3fHjYUojPVtzrSp,That a given set of data and a given set of methods can be shown to give the same result as previously obtained.,,,1,,1,,,1,,,,,,,
3,R_DBJc9C64rFoMOcN,To be able to get the same result with the same data.,,,1,,1,,,,,,,,,,
4,R_ZjJlwbIMNI6y9Gx,to resue data /some idea in another context,,,,,1,,1,,,,,,,,
5,R_27KfAmDZMG04qTb,"At the level of an individual study the idea of multiple independent plots

In the context of the field, multiple studies in similar habitats/environments",,,,,,1,1,1,,,,,,,
6,R_2ysaXvBqr9PTTVX,"The nature of the reproducability of research findings on the basis of the transparency of reserach aims, methods and data sources.",,1,,,,,,,,,,,,,
7,R_3JyEhu9Fwpuwr8v,"important aspect of reliability; the ability to reproduce findings across different datasets, populations, contexts, etc.",,,,1,,1,1,,,1,,,,,
8,R_1kG5j5wRl5Mmz0y,Drawing similar conclusions about overriding structural forces influencing the operation of social and environmental systems from different temporal or spatial settings.,,,,1,,,1,,,1,,,,,
9,R_2QiKqRFpw6DWs0B,NA,1,,,,,,,,,,,,,,
10,R_PtfJGT14PdP2GLT,use an existing methodology and apply it in another domain or for other data,,,,,,1,1,1,,,,,,,
11,R_1dBrF30sz0LEXbx,The ability to reproduce the same protocol and obtain the same results.,,1,1,,,,,1,,,,,,,
12,R_30ehVoLlny5CBlz,Producing consistent results with varied data and analytic methods.,,,,1,,1,,,1,,,,,,
13,R_ZKborDAy7oXgNAl,"There are two main aspects to replicability. 1) computational replicability, also called reproducibility, the degree to which published results can be replicated from the same data, and 2) replicability sensu stricto, the degree to which the entire research process, including data collection, can be reproduced and still yield the same results.",,1,1,,1,1,,1,,,,,,,
14,R_33xTNpDNmRJkE8f,"Replicability to me means that published results should not be merely contingent on overly specific or even idiosyncratic conditions. Instead, the same basic features should occur repeatedly under different, comparable conditions, provided that these reflect the same process that presumably led to the emergence of the reproduced result. This understanding mainly pertains to empirical results. In conceptual or formal (i.e. deductive) work, replicability should be much easier to achieve, since there is either logical consistency or not.",,,,1,,,1,,,,,1,,,
15,R_PAJVNCBkiV0GJrP,"Especially with statistical analysis, we should arrive a the same results when we conduct similar analysis on the same dataset. Furthermore, research data and findings should be stored in such a way that the results can be 'replicated' in the future.",,1,1,,1,,,,1,,,,,,
16,R_3J8E376HYtxj70C,Using the same or similar data from the same category could lead to the exact the same or similar result if you adopt the same algorithm.,,1,1,1,1,1,,1,,,,,,,
17,R_rfDJAP2gnuwE4zT,is the possibility of repeat similar experiments in differents study areas or different temporal and spatial scales,,1,,,,,1,1,1,,,,,,
18,R_28SSRHND7Cis0Fm,"For qualitative methods, I would take it to mean ability to replicate an approach to research, rather than to generate the same data as another study",,,,,,1,,1,,,,,,,
19,R_12075jMSCqgeUh6,Results are reproducible within certain limits.,,,,1,,,,,,,,,,,
20,R_2ANCqPaKdeMiYUG,Experiments or observations can be reproduced in locations other than the particular study site.,,,,,,,1,1,,,,,,,
21,R_1r83KejqP7OFfix,Replicability is obtain results across studies aimed at answering the same scientific question,,,,1,,,1,,,1,,,,,
22,R_3j9xK0jlPG7lYS8,the feasibility of reproducing results presented in a study by a different researcher,,1,1,,,,,,,,,,,,
23,R_1HcQ5ZJUHjae80I,"Results that can be replicated by multiple independent investigators, using different datasets, analysis, etc.",,,,1,,1,,,1,,,,,,
24,R_2eR8rHvZ8ju0Pfb,NA,,,,,,,,,,,,,,,
25,R_xF7eqa4GYvo5bfX,"The ability to create the same analysis, using the same data, and arrive at the same result.",,,1,,1,,,1,,,,,,,
26,R_86OptUc7zvG686t,The extent to which a study could be repeated by other researchers,,1,,,,,,,,,,,,,
27,R_1gAMNyEdCuUJZIi,"Providing clear instructions for every step of the data-collection and -analysis procedures undertaken, so like a recipe where someone else could bake the same cake, ideally including statistical-programming code if used as well as the original data used.",,1,1,,,,,1,,,,,,,hungry
28,R_1HcLU01ISS6a4Qq,"A designed experiment or measurement can be replicated independently with the same result. This requires a clearly defined experimental design, detailed measurement protocols (standard operating procedures).",,1,1,,,,,1,,,,,,,
29,R_12EEsEjPZY04WV6,"The assumption that research models, designs and data etc. can/should be reproduced by others and give the same results",,1,1,,1,,,1,,,,,,,
30,R_1jUJfER9Wri85fP,"To replicate a study would be to redo it and get the same results. In my subfield that would be difficult to achieve because the study I conducted was very context-specific, both in time and space.",,,1,,,,,1,,,1,,,,
31,R_28Ut26FXF1MJEZt,Evidence can be replicated in varying degrees and scales of reference.,,,,1,,,1,,,,,,,,
32,R_2dFN8ER1GFcoFl9,"The ability to effectively identify and accurately re-perform the steps by which a study was both undertaken from data collection through to the interpretation of the results achieved. The purpose of reproducability is to establish mechanisms through which to assess the quality of research performed by others (i.e. to test the strength of their conclusions), to improve the comparability of one's findings to existing research (and thereby test the generalisability of these findings), and to provide greater transparency for establishing the limits of what the research process does or does not do, or claim to inform upon.",,1,,1,,,,1,,1,,,,,
33,R_8GqnPTMtdTEfe9P,Observed patterns or trends are likely to be seen again if measured again in a different sample.,,,,,,,,,,,,,1,,different sample (of same database?)
34,R_3qapy3dscjFt7iJ,The ability for someone else (or yourself) to repeat the study using the same methods and approaches.,,1,,,,,,1,,,,,,,
35,R_3G833vaOsIMiJqT,"Ensure that reserach undertaken is accurately documented, including choice of methods, sample selection, and code produced to analyse/process data, to ensure that research is 'reproducible' to the extent that if the same data were used the same results would be found",,1,1,,1,,,,,,,,,,
