"","ResponseId","Q9_study_factors_oth","Q11_phen_factors_oth"
"1","R_2Y6bjlpycRPhJLG",NA,NA
"2","R_3fHjYUojPVtzrSp","The money to do the incredible amounts of field work required.",NA
"3","R_DBJc9C64rFoMOcN",NA,NA
"4","R_ZjJlwbIMNI6y9Gx",NA,NA
"5","R_27KfAmDZMG04qTb",NA,NA
"6","R_2ysaXvBqr9PTTVX","Funding opportiunites to enable further study - including primary data collection - on the same topic.",NA
"7","R_3JyEhu9Fwpuwr8v",NA,NA
"8","R_1kG5j5wRl5Mmz0y","Most of these categories are irrelevant for broad swathes of human geography which, thankfully, is a predominantly post-positivist social science that seeks to identify structural (and post-structural) arrays of relations that co-constitute a given social, economic, or political situation. The given definition of replicability is essentially incoherent in this approach to research.",NA
"9","R_2QiKqRFpw6DWs0B",NA,NA
"10","R_PtfJGT14PdP2GLT",NA,NA
"11","R_1dBrF30sz0LEXbx",NA,NA
"12","R_30ehVoLlny5CBlz",NA,"As long spatial dependence and local conditions are consistent in replications."
"13","R_ZKborDAy7oXgNAl",NA,NA
"14","R_33xTNpDNmRJkE8f","Many of the results I deal with are methodological in nature. Even if the research design is empirical (e.g. simulation studies), the data are often easy to replicate (provided the methods description is sufficiently detailed). Replicability is therefore not as much of a problem as in empirical fields of geography, which are more strongly concerned with complex real-world systems. What certainly has an influence on the performance of replication studies, however, is that they do not seem very interesting/popular in the light of the described lower importance in my subfield.",NA
"15","R_PAJVNCBkiV0GJrP","The unique position of a researcher should not make a difference if the approach and results are stored correctly. In fact, in my opinion replication would mean that we would also be able to test researchers with a unique position.","If local circumstances are a key determinant of the processes at work it seems difficult to replicate the (complete) study in another environment. Of course, other environments could test certain elements that are similar and evidence from multiple locations (even though they are different) would accumulate to better knowledge of the determinants and mechanisms at play. In this case, arriving at a similar result is not the purpose of replicating of course, only using the same methods and approach."
"16","R_3J8E376HYtxj70C",NA,NA
"17","R_rfDJAP2gnuwE4zT",NA,NA
"18","R_28SSRHND7Cis0Fm","I'm not aware of anyone who has ever tried a replicating study in my sub-field, so it is difficult to answer this question",NA
"19","R_12075jMSCqgeUh6",NA,NA
"20","R_2ANCqPaKdeMiYUG",NA,NA
"21","R_1r83KejqP7OFfix","methods and kind of genetic-genomic analyses used","is species-specific, i.e. depends on species' life history characteristics"
"22","R_3j9xK0jlPG7lYS8",NA,NA
"23","R_1HcQ5ZJUHjae80I",NA,NA
"24","R_2eR8rHvZ8ju0Pfb",NA,NA
"25","R_xF7eqa4GYvo5bfX",NA,NA
"26","R_86OptUc7zvG686t",NA,NA
"27","R_1gAMNyEdCuUJZIi",NA,NA
"28","R_1HcLU01ISS6a4Qq",NA,NA
"29","R_12EEsEjPZY04WV6","The scope of the study",NA
"30","R_1jUJfER9Wri85fP",NA,"The specificity of the context in which the process studied unfolded. The social, economic, and political conditions (or, in other words, the *historical context*) that at least partially explain the results observed might not happen again, and that is not something that can be reproduced artificially."
"31","R_28Ut26FXF1MJEZt","As using qualitative reflective approaches replicating is not as clear-cut as your questions assume. Substantiation would come from as many relevant sources as possible","References to other studies; discussion and critical assessment. of theoretical positions; interdisciplinary support; the strength of the  initial problematisation; inclusivity."
