"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"","(N=76)","(N=113)","(N=42)","(N=49)","(N=3)","(N=283)"
"How would you describe the type of research you primarily conduct?","","","","","",""
"  Quantitative","26 (34.2%)","60 (53.1%)","11 (26.2%)","37 (75.5%)","0 (0%)","134 (47.3%)"
"  Qualitative","33 (43.4%)","1 (0.9%)","11 (26.2%)","0 (0%)","1 (33.3%)","46 (16.3%)"
"  Mixed Methods","17 (22.4%)","52 (46.0%)","20 (47.6%)","12 (24.5%)","1 (33.3%)","102 (36.0%)"
"Size of lab","","","","","",""
"  1","16 (21.1%)","3 (2.7%)","4 (9.5%)","1 (2.0%)","0 (0%)","24 (8.5%)"
"  2 - 5 people","26 (34.2%)","42 (37.2%)","19 (45.2%)","13 (26.5%)","2 (66.7%)","102 (36.0%)"
"  6 - 10 people","16 (21.1%)","31 (27.4%)","13 (31.0%)","17 (34.7%)","1 (33.3%)","78 (27.6%)"
"  11 - 15 people","3 (3.9%)","20 (17.7%)","5 (11.9%)","6 (12.2%)","0 (0%)","34 (12.0%)"
"  16+ people","13 (17.1%)","14 (12.4%)","1 (2.4%)","10 (20.4%)","0 (0%)","38 (13.4%)"
"Title","","","","","",""
"  Full professor/lecturer","17 (22.4%)","31 (27.4%)","16 (38.1%)","13 (26.5%)","0 (0%)","77 (27.2%)"
"  Associate professor/lecturer","27 (35.5%)","20 (17.7%)","11 (26.2%)","5 (10.2%)","1 (33.3%)","64 (22.6%)"
"  Assistant professor/lecturer","11 (14.5%)","10 (8.8%)","4 (9.5%)","13 (26.5%)","0 (0%)","38 (13.4%)"
"  Laboratory director/head","0 (0%)","2 (1.8%)","0 (0%)","1 (2.0%)","0 (0%)","3 (1.1%)"
"  Research scientist","5 (6.6%)","15 (13.3%)","4 (9.5%)","7 (14.3%)","0 (0%)","31 (11.0%)"
"  Post-doctoral fellow","4 (5.3%)","20 (17.7%)","4 (9.5%)","5 (10.2%)","2 (66.7%)","35 (12.4%)"
"  Graduate student (PhD, masters)","4 (5.3%)","10 (8.8%)","1 (2.4%)","2 (4.1%)","0 (0%)","17 (6.0%)"
"  Technician/research assistant","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Other (specify)","7 (9.2%)","2 (1.8%)","2 (4.8%)","1 (2.0%)","0 (0%)","12 (4.2%)"
"How old are you?","","","","","",""
"  Under 18","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  18-34 years old","13 (17.1%)","26 (23.0%)","3 (7.1%)","9 (18.4%)","0 (0%)","51 (18.0%)"
"  35-54 years old","48 (63.2%)","60 (53.1%)","26 (61.9%)","32 (65.3%)","3 (100%)","169 (59.7%)"
"  55+ years old","15 (19.7%)","27 (23.9%)","13 (31.0%)","8 (16.3%)","0 (0%)","63 (22.3%)"
