"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Subdiscipline","","","","",""
"  Human","26 (19.4%)","33 (71.7%)","17 (16.7%)","0 (0%)","76 (26.9%)"
"  Physical","60 (44.8%)","1 (2.2%)","52 (51.0%)","0 (0%)","113 (39.9%)"
"  Nature/society","11 (8.2%)","11 (23.9%)","20 (19.6%)","0 (0%)","42 (14.8%)"
"  Methods","37 (27.6%)","0 (0%)","12 (11.8%)","0 (0%)","49 (17.3%)"
"  Other","0 (0%)","1 (2.2%)","1 (1.0%)","1 (100%)","3 (1.1%)"
"  NA","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Size of lab","","","","",""
"  1","8 (6.0%)","12 (26.1%)","4 (3.9%)","0 (0%)","24 (8.5%)"
"  2 - 5 people","52 (38.8%)","14 (30.4%)","35 (34.3%)","1 (100%)","102 (36.0%)"
"  6 - 10 people","33 (24.6%)","12 (26.1%)","33 (32.4%)","0 (0%)","78 (27.6%)"
"  11 - 15 people","14 (10.4%)","2 (4.3%)","18 (17.6%)","0 (0%)","34 (12.0%)"
"  16+ people","23 (17.2%)","5 (10.9%)","10 (9.8%)","0 (0%)","38 (13.4%)"
"Title","","","","",""
"  Full professor/lecturer","32 (23.9%)","10 (21.7%)","35 (34.3%)","0 (0%)","77 (27.2%)"
"  Associate professor/lecturer","31 (23.1%)","13 (28.3%)","19 (18.6%)","1 (100%)","64 (22.6%)"
"  Assistant professor/lecturer","21 (15.7%)","8 (17.4%)","9 (8.8%)","0 (0%)","38 (13.4%)"
"  Laboratory director/head","3 (2.2%)","0 (0%)","0 (0%)","0 (0%)","3 (1.1%)"
"  Research scientist","19 (14.2%)","2 (4.3%)","10 (9.8%)","0 (0%)","31 (11.0%)"
"  Post-doctoral fellow","13 (9.7%)","5 (10.9%)","17 (16.7%)","0 (0%)","35 (12.4%)"
"  Graduate student (PhD, masters)","8 (6.0%)","3 (6.5%)","6 (5.9%)","0 (0%)","17 (6.0%)"
"  Technician/research assistant","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  Other (specify)","3 (2.2%)","5 (10.9%)","4 (3.9%)","0 (0%)","12 (4.2%)"
"How old are you?","","","","",""
"  Under 18","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"  18-34 years old","26 (19.4%)","6 (13.0%)","19 (18.6%)","0 (0%)","51 (18.0%)"
"  35-54 years old","82 (61.2%)","28 (60.9%)","58 (56.9%)","1 (100%)","169 (59.7%)"
"  55+ years old","26 (19.4%)","12 (26.1%)","25 (24.5%)","0 (0%)","63 (22.3%)"
