"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"","(N=76)","(N=113)","(N=42)","(N=49)","(N=3)","(N=283)"
"Claim is the product of chance","","","","","",""
"  Strongly agree","9 (11.8%)","27 (23.9%)","7 (16.7%)","7 (14.3%)","2 (66.7%)","52 (18.4%)"
"  Agree","35 (46.1%)","52 (46.0%)","17 (40.5%)","31 (63.3%)","1 (33.3%)","136 (48.1%)"
"  Disagree","16 (21.1%)","18 (15.9%)","12 (28.6%)","6 (12.2%)","0 (0%)","52 (18.4%)"
"  Strongly disagree","13 (17.1%)","11 (9.7%)","2 (4.8%)","4 (8.2%)","0 (0%)","30 (10.6%)"
"  Missing","3 (3.9%)","5 (4.4%)","4 (9.5%)","1 (2.0%)","0 (0%)","13 (4.6%)"
"Result is the product of a flawed research design","","","","","",""
"  Strongly agree","9 (11.8%)","17 (15.0%)","8 (19.0%)","10 (20.4%)","1 (33.3%)","45 (15.9%)"
"  Agree","35 (46.1%)","56 (49.6%)","11 (26.2%)","21 (42.9%)","1 (33.3%)","124 (43.8%)"
"  Disagree","20 (26.3%)","24 (21.2%)","20 (47.6%)","13 (26.5%)","1 (33.3%)","78 (27.6%)"
"  Strongly disagree","9 (11.8%)","8 (7.1%)","2 (4.8%)","5 (10.2%)","0 (0%)","24 (8.5%)"
"  Missing","3 (3.9%)","8 (7.1%)","1 (2.4%)","0 (0%)","0 (0%)","12 (4.2%)"
"Obs and analyses reflect the concepts they intended to","","","","","",""
"  Strongly agree","9 (11.8%)","26 (23.0%)","5 (11.9%)","13 (26.5%)","0 (0%)","53 (18.7%)"
"  Agree","41 (53.9%)","66 (58.4%)","22 (52.4%)","30 (61.2%)","1 (33.3%)","160 (56.5%)"
"  Disagree","14 (18.4%)","11 (9.7%)","12 (28.6%)","4 (8.2%)","2 (66.7%)","43 (15.2%)"
"  Strongly disagree","4 (5.3%)","2 (1.8%)","1 (2.4%)","0 (0%)","0 (0%)","7 (2.5%)"
"  Missing","8 (10.5%)","8 (7.1%)","2 (4.8%)","2 (4.1%)","0 (0%)","20 (7.1%)"
"Claim will hold in other populations","","","","","",""
"  Strongly agree","16 (21.1%)","17 (15.0%)","9 (21.4%)","10 (20.4%)","1 (33.3%)","53 (18.7%)"
"  Agree","33 (43.4%)","47 (41.6%)","21 (50.0%)","24 (49.0%)","0 (0%)","125 (44.2%)"
"  Disagree","15 (19.7%)","19 (16.8%)","8 (19.0%)","14 (28.6%)","0 (0%)","56 (19.8%)"
"  Strongly disagree","6 (7.9%)","3 (2.7%)","1 (2.4%)","0 (0%)","2 (66.7%)","12 (4.2%)"
"  Missing","6 (7.9%)","27 (23.9%)","3 (7.1%)","1 (2.0%)","0 (0%)","37 (13.1%)"
"Claim will hold in other locations","","","","","",""
"  Strongly agree","16 (21.1%)","22 (19.5%)","11 (26.2%)","16 (32.7%)","1 (33.3%)","66 (23.3%)"
"  Agree","30 (39.5%)","52 (46.0%)","19 (45.2%)","24 (49.0%)","1 (33.3%)","126 (44.5%)"
"  Disagree","17 (22.4%)","21 (18.6%)","8 (19.0%)","8 (16.3%)","0 (0%)","54 (19.1%)"
"  Strongly disagree","8 (10.5%)","2 (1.8%)","1 (2.4%)","0 (0%)","1 (33.3%)","12 (4.2%)"
"  Missing","5 (6.6%)","16 (14.2%)","3 (7.1%)","1 (2.0%)","0 (0%)","25 (8.8%)"
