"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"","(N=76)","(N=113)","(N=42)","(N=49)","(N=3)","(N=283)"
"Multiple hypotheses were tested","","","","","",""
"  Very likely to increase","10 (13.2%)","20 (17.7%)","6 (14.3%)","7 (14.3%)","0 (0%)","43 (15.2%)"
"  Somewhat likely to increase","12 (15.8%)","28 (24.8%)","7 (16.7%)","17 (34.7%)","0 (0%)","64 (22.6%)"
"  Not likely to affect","17 (22.4%)","28 (24.8%)","13 (31.0%)","13 (26.5%)","0 (0%)","71 (25.1%)"
"  Somewhat likely to decrease","13 (17.1%)","25 (22.1%)","10 (23.8%)","6 (12.2%)","1 (33.3%)","55 (19.4%)"
"  Very likely to decrease","6 (7.9%)","7 (6.2%)","1 (2.4%)","3 (6.1%)","2 (66.7%)","19 (6.7%)"
"  Don't know","17 (22.4%)","4 (3.5%)","5 (11.9%)","2 (4.1%)","0 (0%)","28 (9.9%)"
"  Missing","1 (1.3%)","1 (0.9%)","0 (0%)","1 (2.0%)","0 (0%)","3 (1.1%)"
"Quantitative methods were used","","","","","",""
"  Very likely to increase","29 (38.2%)","51 (45.1%)","14 (33.3%)","21 (42.9%)","1 (33.3%)","116 (41.0%)"
"  Somewhat likely to increase","30 (39.5%)","44 (38.9%)","17 (40.5%)","19 (38.8%)","2 (66.7%)","112 (39.6%)"
"  Not likely to affect","10 (13.2%)","14 (12.4%)","6 (14.3%)","5 (10.2%)","0 (0%)","35 (12.4%)"
"  Somewhat likely to decrease","1 (1.3%)","1 (0.9%)","3 (7.1%)","2 (4.1%)","0 (0%)","7 (2.5%)"
"  Very likely to decrease","1 (1.3%)","0 (0%)","1 (2.4%)","1 (2.0%)","0 (0%)","3 (1.1%)"
"  Don't know","5 (6.6%)","2 (1.8%)","1 (2.4%)","1 (2.0%)","0 (0%)","9 (3.2%)"
"  Missing","0 (0%)","1 (0.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.4%)"
"Qualitative methods were used","","","","","",""
"  Very likely to increase","5 (6.6%)","10 (8.8%)","4 (9.5%)","3 (6.1%)","0 (0%)","22 (7.8%)"
"  Somewhat likely to increase","10 (13.2%)","26 (23.0%)","7 (16.7%)","11 (22.4%)","1 (33.3%)","55 (19.4%)"
"  Not likely to affect","19 (25.0%)","31 (27.4%)","10 (23.8%)","15 (30.6%)","2 (66.7%)","77 (27.2%)"
"  Somewhat likely to decrease","24 (31.6%)","33 (29.2%)","16 (38.1%)","15 (30.6%)","0 (0%)","88 (31.1%)"
"  Very likely to decrease","13 (17.1%)","4 (3.5%)","4 (9.5%)","4 (8.2%)","0 (0%)","25 (8.8%)"
"  Don't know","5 (6.6%)","8 (7.1%)","1 (2.4%)","1 (2.0%)","0 (0%)","15 (5.3%)"
"  Missing","0 (0%)","1 (0.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.4%)"
"Mixed methods were used","","","","","",""
"  Very likely to increase","6 (7.9%)","20 (17.7%)","5 (11.9%)","3 (6.1%)","0 (0%)","34 (12.0%)"
"  Somewhat likely to increase","23 (30.3%)","35 (31.0%)","17 (40.5%)","19 (38.8%)","1 (33.3%)","95 (33.6%)"
"  Not likely to affect","20 (26.3%)","25 (22.1%)","9 (21.4%)","13 (26.5%)","2 (66.7%)","69 (24.4%)"
"  Somewhat likely to decrease","20 (26.3%)","21 (18.6%)","9 (21.4%)","10 (20.4%)","0 (0%)","60 (21.2%)"
"  Very likely to decrease","1 (1.3%)","1 (0.9%)","1 (2.4%)","0 (0%)","0 (0%)","3 (1.1%)"
"  Don't know","6 (7.9%)","10 (8.8%)","1 (2.4%)","2 (4.1%)","0 (0%)","19 (6.7%)"
"  Missing","0 (0%)","1 (0.9%)","0 (0%)","2 (4.1%)","0 (0%)","3 (1.1%)"
"Poor documentation of study methods","","","","","",""
"  Very likely to increase","1 (1.3%)","8 (7.1%)","6 (14.3%)","3 (6.1%)","0 (0%)","18 (6.4%)"
"  Somewhat likely to increase","3 (3.9%)","9 (8.0%)","4 (9.5%)","7 (14.3%)","0 (0%)","23 (8.1%)"
"  Not likely to affect","5 (6.6%)","11 (9.7%)","1 (2.4%)","3 (6.1%)","0 (0%)","20 (7.1%)"
"  Somewhat likely to decrease","12 (15.8%)","12 (10.6%)","4 (9.5%)","9 (18.4%)","0 (0%)","37 (13.1%)"
"  Very likely to decrease","48 (63.2%)","71 (62.8%)","27 (64.3%)","26 (53.1%)","3 (100%)","175 (61.8%)"
"  Don't know","7 (9.2%)","1 (0.9%)","0 (0%)","1 (2.0%)","0 (0%)","9 (3.2%)"
"  Missing","0 (0%)","1 (0.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.4%)"
"Restricted access data were used","","","","","",""
"  Very likely to increase","2 (2.6%)","7 (6.2%)","5 (11.9%)","1 (2.0%)","0 (0%)","15 (5.3%)"
"  Somewhat likely to increase","5 (6.6%)","9 (8.0%)","4 (9.5%)","11 (22.4%)","0 (0%)","29 (10.2%)"
"  Not likely to affect","5 (6.6%)","18 (15.9%)","7 (16.7%)","6 (12.2%)","0 (0%)","36 (12.7%)"
"  Somewhat likely to decrease","24 (31.6%)","25 (22.1%)","7 (16.7%)","10 (20.4%)","1 (33.3%)","67 (23.7%)"
"  Very likely to decrease","31 (40.8%)","51 (45.1%)","16 (38.1%)","20 (40.8%)","2 (66.7%)","120 (42.4%)"
"  Don't know","9 (11.8%)","2 (1.8%)","3 (7.1%)","1 (2.0%)","0 (0%)","15 (5.3%)"
"  Missing","0 (0%)","1 (0.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.4%)"
"Data were gathered from multiple sites","","","","","",""
"  Very likely to increase","3 (3.9%)","18 (15.9%)","6 (14.3%)","9 (18.4%)","1 (33.3%)","37 (13.1%)"
"  Somewhat likely to increase","15 (19.7%)","34 (30.1%)","13 (31.0%)","15 (30.6%)","0 (0%)","77 (27.2%)"
"  Not likely to affect","29 (38.2%)","37 (32.7%)","15 (35.7%)","15 (30.6%)","2 (66.7%)","98 (34.6%)"
"  Somewhat likely to decrease","14 (18.4%)","22 (19.5%)","8 (19.0%)","7 (14.3%)","0 (0%)","51 (18.0%)"
"  Very likely to decrease","7 (9.2%)","1 (0.9%)","0 (0%)","1 (2.0%)","0 (0%)","9 (3.2%)"
"  Don't know","8 (10.5%)","0 (0%)","0 (0%)","2 (4.1%)","0 (0%)","10 (3.5%)"
"  Missing","0 (0%)","1 (0.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.4%)"
"A large research team conducted the study","","","","","",""
"  Very likely to increase","3 (3.9%)","12 (10.6%)","6 (14.3%)","7 (14.3%)","0 (0%)","28 (9.9%)"
"  Somewhat likely to increase","9 (11.8%)","20 (17.7%)","2 (4.8%)","8 (16.3%)","1 (33.3%)","40 (14.1%)"
"  Not likely to affect","40 (52.6%)","57 (50.4%)","20 (47.6%)","26 (53.1%)","2 (66.7%)","145 (51.2%)"
"  Somewhat likely to decrease","11 (14.5%)","17 (15.0%)","9 (21.4%)","3 (6.1%)","0 (0%)","40 (14.1%)"
"  Very likely to decrease","2 (2.6%)","3 (2.7%)","4 (9.5%)","2 (4.1%)","0 (0%)","11 (3.9%)"
"  Don't know","10 (13.2%)","3 (2.7%)","1 (2.4%)","2 (4.1%)","0 (0%)","16 (5.7%)"
