"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Multiple hypotheses were tested","","","","",""
"  Very likely to increase","17 (12.7%)","7 (15.2%)","19 (18.6%)","0 (0%)","43 (15.2%)"
"  Somewhat likely to increase","27 (20.1%)","8 (17.4%)","29 (28.4%)","0 (0%)","64 (22.6%)"
"  Not likely to affect","40 (29.9%)","9 (19.6%)","22 (21.6%)","0 (0%)","71 (25.1%)"
"  Somewhat likely to decrease","30 (22.4%)","5 (10.9%)","20 (19.6%)","0 (0%)","55 (19.4%)"
"  Very likely to decrease","11 (8.2%)","3 (6.5%)","4 (3.9%)","1 (100%)","19 (6.7%)"
"  Don't know","8 (6.0%)","14 (30.4%)","6 (5.9%)","0 (0%)","28 (9.9%)"
"  Missing","1 (0.7%)","0 (0%)","2 (2.0%)","0 (0%)","3 (1.1%)"
"Quantitative methods were used","","","","",""
"  Very likely to increase","63 (47.0%)","10 (21.7%)","42 (41.2%)","1 (100%)","116 (41.0%)"
"  Somewhat likely to increase","52 (38.8%)","22 (47.8%)","38 (37.3%)","0 (0%)","112 (39.6%)"
"  Not likely to affect","13 (9.7%)","8 (17.4%)","14 (13.7%)","0 (0%)","35 (12.4%)"
"  Somewhat likely to decrease","4 (3.0%)","1 (2.2%)","2 (2.0%)","0 (0%)","7 (2.5%)"
"  Very likely to decrease","1 (0.7%)","1 (2.2%)","1 (1.0%)","0 (0%)","3 (1.1%)"
"  Don't know","1 (0.7%)","4 (8.7%)","4 (3.9%)","0 (0%)","9 (3.2%)"
"  Missing","0 (0%)","0 (0%)","1 (1.0%)","0 (0%)","1 (0.4%)"
"Qualitative methods were used","","","","",""
"  Very likely to increase","7 (5.2%)","3 (6.5%)","12 (11.8%)","0 (0%)","22 (7.8%)"
"  Somewhat likely to increase","16 (11.9%)","6 (13.0%)","32 (31.4%)","1 (100%)","55 (19.4%)"
"  Not likely to affect","41 (30.6%)","12 (26.1%)","24 (23.5%)","0 (0%)","77 (27.2%)"
"  Somewhat likely to decrease","48 (35.8%)","16 (34.8%)","24 (23.5%)","0 (0%)","88 (31.1%)"
"  Very likely to decrease","14 (10.4%)","7 (15.2%)","4 (3.9%)","0 (0%)","25 (8.8%)"
"  Don't know","8 (6.0%)","2 (4.3%)","5 (4.9%)","0 (0%)","15 (5.3%)"
"  Missing","0 (0%)","0 (0%)","1 (1.0%)","0 (0%)","1 (0.4%)"
"Mixed methods were used","","","","",""
"  Very likely to increase","12 (9.0%)","3 (6.5%)","19 (18.6%)","0 (0%)","34 (12.0%)"
"  Somewhat likely to increase","40 (29.9%)","12 (26.1%)","43 (42.2%)","0 (0%)","95 (33.6%)"
"  Not likely to affect","29 (21.6%)","19 (41.3%)","20 (19.6%)","1 (100%)","69 (24.4%)"
"  Somewhat likely to decrease","40 (29.9%)","8 (17.4%)","12 (11.8%)","0 (0%)","60 (21.2%)"
"  Very likely to decrease","3 (2.2%)","0 (0%)","0 (0%)","0 (0%)","3 (1.1%)"
"  Don't know","9 (6.7%)","4 (8.7%)","6 (5.9%)","0 (0%)","19 (6.7%)"
