"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Multiple hypotheses were tested","","","","",""
"  Mean (SD)","0.0720 (1.17)","0.344 (1.26)","0.415 (1.16)","-2.00 (NA)","0.226 (1.19)"
"  Median [Min, Max]","0 [-2.00, 2.00]","0 [-2.00, 2.00]","1.00 [-2.00, 2.00]","-2.00 [-2.00, -2.00]","0 [-2.00, 2.00]"
"  Missing","9 (6.7%)","14 (30.4%)","8 (7.8%)","0 (0%)","31 (11.0%)"
"Quantitative methods were used","","","","",""
"  Mean (SD)","1.29 (0.824)","0.929 (0.867)","1.22 (0.844)","2.00 (NA)","1.21 (0.844)"
"  Median [Min, Max]","1.00 [-2.00, 2.00]","1.00 [-2.00, 2.00]","1.00 [-2.00, 2.00]","2.00 [2.00, 2.00]","1.00 [-2.00, 2.00]"
"  Missing","1 (0.7%)","4 (8.7%)","5 (4.9%)","0 (0%)","10 (3.5%)"
"Qualitative methods were used","","","","",""
"  Mean (SD)","-0.365 (1.02)","-0.409 (1.13)","0.250 (1.10)","1.00 (NA)","-0.146 (1.11)"
"  Median [Min, Max]","0 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","0 [-2.00, 2.00]","1.00 [1.00, 1.00]","0 [-2.00, 2.00]"
"  Missing","8 (6.0%)","2 (4.3%)","6 (5.9%)","0 (0%)","16 (5.7%)"
"Mixed methods were used","","","","",""
"  Mean (SD)","0.145 (1.06)","0.238 (0.850)","0.734 (0.930)","0 (NA)","0.372 (1.01)"
"  Median [Min, Max]","0 [-2.00, 2.00]","0 [-1.00, 2.00]","1.00 [-1.00, 2.00]","0 [0, 0]","0 [-2.00, 2.00]"
"  Missing","10 (7.5%)","4 (8.7%)","8 (7.8%)","0 (0%)","22 (7.8%)"
"Poor documentation of study methods","","","","",""
"  Mean (SD)","-1.33 (1.22)","-1.24 (1.18)","-1.00 (1.35)","-2.00 (NA)","-1.20 (1.27)"
"  Median [Min, Max]","-2.00 [-2.00, 2.00]","-2.00 [-2.00, 2.00]","-2.00 [-2.00, 2.00]","-2.00 [-2.00, -2.00]","-2.00 [-2.00, 2.00]"
"  Missing","1 (0.7%)","5 (10.9%)","4 (3.9%)","0 (0%)","10 (3.5%)"
"Restricted access data were used","","","","",""
"  Mean (SD)","-1.05 (1.21)","-1.03 (1.11)","-0.708 (1.30)","-2.00 (NA)","-0.929 (1.23)"
"  Median [Min, Max]","-2.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-2.00 [-2.00, -2.00]","-1.00 [-2.00, 2.00]"
"  Missing","3 (2.2%)","7 (15.2%)","6 (5.9%)","0 (0%)","16 (5.7%)"
"Data were gathered from multiple sites","","","","",""
"  Mean (SD)","0.265 (1.08)","0.350 (0.975)","0.333 (0.990)","0 (NA)","0.301 (1.03)"
"  Median [Min, Max]","0 [-2.00, 2.00]","0 [-2.00, 2.00]","0 [-2.00, 2.00]","0 [0, 0]","0 [-2.00, 2.00]"
"  Missing","2 (1.5%)","6 (13.0%)","3 (2.9%)","0 (0%)","11 (3.9%)"
"A large research team conducted the study","","","","",""
"  Mean (SD)","0.103 (0.928)","0.105 (0.831)","0.172 (1.00)","0 (NA)","0.129 (0.938)"
"  Median [Min, Max]","0 [-2.00, 2.00]","0 [-2.00, 2.00]","0 [-2.00, 2.00]","0 [0, 0]","0 [-2.00, 2.00]"
"  Missing","8 (6.0%)","8 (17.4%)","3 (2.9%)","0 (0%)","19 (6.7%)"
"Relied on expertise unique to the researcher","","","","",""
"  Mean (SD)","-0.597 (1.11)","-0.410 (1.14)","-0.146 (1.14)","-2.00 (NA)","-0.411 (1.14)"
"  Median [Min, Max]","-1.00 [-2.00, 2.00]","0 [-2.00, 2.00]","0 [-2.00, 2.00]","-2.00 [-2.00, -2.00]","-1.00 [-2.00, 2.00]"
"  Missing","5 (3.7%)","7 (15.2%)","6 (5.9%)","0 (0%)","18 (6.4%)"
"Relied on the unique position of the researcher","","","","",""
"  Mean (SD)","-0.808 (0.989)","-0.744 (1.23)","-0.426 (1.23)","-2.00 (NA)","-0.664 (1.13)"
"  Median [Min, Max]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-0.500 [-2.00, 2.00]","-2.00 [-2.00, -2.00]","-1.00 [-2.00, 2.00]"
"  Missing","9 (6.7%)","7 (15.2%)","8 (7.8%)","0 (0%)","24 (8.5%)"
