"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"","(N=76)","(N=113)","(N=42)","(N=49)","(N=3)","(N=283)"
"Spatially dependent upon itself","","","","","",""
"  Very likely to increase","4 (5.3%)","8 (7.1%)","3 (7.1%)","1 (2.0%)","0 (0%)","16 (5.7%)"
"  Somewhat likely to increase","9 (11.8%)","22 (19.5%)","4 (9.5%)","14 (28.6%)","0 (0%)","49 (17.3%)"
"  Not likely to affect","9 (11.8%)","15 (13.3%)","5 (11.9%)","11 (22.4%)","1 (33.3%)","41 (14.5%)"
"  Somewhat likely to decrease","20 (26.3%)","37 (32.7%)","11 (26.2%)","13 (26.5%)","1 (33.3%)","82 (29.0%)"
"  Very likely to decrease","10 (13.2%)","12 (10.6%)","6 (14.3%)","5 (10.2%)","1 (33.3%)","34 (12.0%)"
"  Missing","24 (31.6%)","19 (16.8%)","13 (31.0%)","5 (10.2%)","0 (0%)","61 (21.6%)"
"Strongly related with local conditions","","","","","",""
"  Very likely to increase","5 (6.6%)","15 (13.3%)","3 (7.1%)","3 (6.1%)","0 (0%)","26 (9.2%)"
"  Somewhat likely to increase","5 (6.6%)","15 (13.3%)","5 (11.9%)","10 (20.4%)","0 (0%)","35 (12.4%)"
"  Not likely to affect","9 (11.8%)","16 (14.2%)","4 (9.5%)","5 (10.2%)","0 (0%)","34 (12.0%)"
"  Somewhat likely to decrease","17 (22.4%)","35 (31.0%)","17 (40.5%)","19 (38.8%)","1 (33.3%)","89 (31.4%)"
"  Very likely to decrease","29 (38.2%)","29 (25.7%)","10 (23.8%)","10 (20.4%)","2 (66.7%)","80 (28.3%)"
"  Missing","11 (14.5%)","3 (2.7%)","3 (7.1%)","2 (4.1%)","0 (0%)","19 (6.7%)"
"Exhibits variation across locations","","","","","",""
"  Very likely to increase","7 (9.2%)","9 (8.0%)","5 (11.9%)","3 (6.1%)","1 (33.3%)","25 (8.8%)"
"  Somewhat likely to increase","15 (19.7%)","29 (25.7%)","8 (19.0%)","15 (30.6%)","0 (0%)","67 (23.7%)"
"  Not likely to affect","16 (21.1%)","20 (17.7%)","4 (9.5%)","10 (20.4%)","1 (33.3%)","51 (18.0%)"
"  Somewhat likely to decrease","17 (22.4%)","34 (30.1%)","16 (38.1%)","12 (24.5%)","1 (33.3%)","80 (28.3%)"
"  Very likely to decrease","10 (13.2%)","16 (14.2%)","6 (14.3%)","5 (10.2%)","0 (0%)","37 (13.1%)"
"  Missing","11 (14.5%)","5 (4.4%)","3 (7.1%)","4 (8.2%)","0 (0%)","23 (8.1%)"
"Cannot be directly measured","","","","","",""
"  Very likely to increase","3 (3.9%)","7 (6.2%)","3 (7.1%)","0 (0%)","0 (0%)","13 (4.6%)"
"  Somewhat likely to increase","3 (3.9%)","7 (6.2%)","1 (2.4%)","8 (16.3%)","0 (0%)","19 (6.7%)"
"  Not likely to affect","11 (14.5%)","18 (15.9%)","7 (16.7%)","5 (10.2%)","2 (66.7%)","43 (15.2%)"
"  Somewhat likely to decrease","20 (26.3%)","29 (25.7%)","14 (33.3%)","19 (38.8%)","0 (0%)","82 (29.0%)"
"  Very likely to decrease","27 (35.5%)","39 (34.5%)","13 (31.0%)","12 (24.5%)","1 (33.3%)","92 (32.5%)"
"  Missing","12 (15.8%)","13 (11.5%)","4 (9.5%)","5 (10.2%)","0 (0%)","34 (12.0%)"
"Cannot be directly manipulated","","","","","",""
"  Very likely to increase","4 (5.3%)","6 (5.3%)","3 (7.1%)","1 (2.0%)","0 (0%)","14 (4.9%)"
"  Somewhat likely to increase","3 (3.9%)","10 (8.8%)","3 (7.1%)","10 (20.4%)","0 (0%)","26 (9.2%)"
"  Not likely to affect","18 (23.7%)","30 (26.5%)","9 (21.4%)","10 (20.4%)","3 (100%)","70 (24.7%)"
"  Somewhat likely to decrease","20 (26.3%)","29 (25.7%)","11 (26.2%)","17 (34.7%)","0 (0%)","77 (27.2%)"
"  Very likely to decrease","12 (15.8%)","17 (15.0%)","9 (21.4%)","4 (8.2%)","0 (0%)","42 (14.8%)"
"  Missing","19 (25.0%)","21 (18.6%)","7 (16.7%)","7 (14.3%)","0 (0%)","54 (19.1%)"
"Has multiple competing theoretical explanations","","","","","",""
"  Very likely to increase","5 (6.6%)","10 (8.8%)","2 (4.8%)","2 (4.1%)","0 (0%)","19 (6.7%)"
"  Somewhat likely to increase","8 (10.5%)","18 (15.9%)","9 (21.4%)","11 (22.4%)","0 (0%)","46 (16.3%)"
"  Not likely to affect","28 (36.8%)","39 (34.5%)","8 (19.0%)","16 (32.7%)","1 (33.3%)","92 (32.5%)"
"  Somewhat likely to decrease","15 (19.7%)","31 (27.4%)","15 (35.7%)","12 (24.5%)","2 (66.7%)","75 (26.5%)"
"  Very likely to decrease","9 (11.8%)","5 (4.4%)","4 (9.5%)","1 (2.0%)","0 (0%)","19 (6.7%)"
"  Missing","11 (14.5%)","10 (8.8%)","4 (9.5%)","7 (14.3%)","0 (0%)","32 (11.3%)"
