"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Spatially dependent upon itself","","","","",""
"  Very likely to increase","7 (5.2%)","2 (4.3%)","7 (6.9%)","0 (0%)","16 (5.7%)"
"  Somewhat likely to increase","19 (14.2%)","6 (13.0%)","24 (23.5%)","0 (0%)","49 (17.3%)"
"  Not likely to affect","23 (17.2%)","1 (2.2%)","16 (15.7%)","1 (100%)","41 (14.5%)"
"  Somewhat likely to decrease","53 (39.6%)","9 (19.6%)","20 (19.6%)","0 (0%)","82 (29.0%)"
"  Very likely to decrease","10 (7.5%)","9 (19.6%)","15 (14.7%)","0 (0%)","34 (12.0%)"
"  Don't know","20 (14.9%)","18 (39.1%)","19 (18.6%)","0 (0%)","57 (20.1%)"
"  Missing","2 (1.5%)","1 (2.2%)","1 (1.0%)","0 (0%)","4 (1.4%)"
"Strongly related with local conditions","","","","",""
"  Very likely to increase","11 (8.2%)","5 (10.9%)","10 (9.8%)","0 (0%)","26 (9.2%)"
"  Somewhat likely to increase","15 (11.2%)","3 (6.5%)","17 (16.7%)","0 (0%)","35 (12.4%)"
"  Not likely to affect","16 (11.9%)","3 (6.5%)","15 (14.7%)","0 (0%)","34 (12.0%)"
"  Somewhat likely to decrease","51 (38.1%)","9 (19.6%)","28 (27.5%)","1 (100%)","89 (31.4%)"
"  Very likely to decrease","35 (26.1%)","17 (37.0%)","28 (27.5%)","0 (0%)","80 (28.3%)"
"  Don't know","4 (3.0%)","9 (19.6%)","3 (2.9%)","0 (0%)","16 (5.7%)"
"  Missing","2 (1.5%)","0 (0%)","1 (1.0%)","0 (0%)","3 (1.1%)"
"Exhibits variation across locations","","","","",""
"  Very likely to increase","8 (6.0%)","4 (8.7%)","13 (12.7%)","0 (0%)","25 (8.8%)"
"  Somewhat likely to increase","30 (22.4%)","10 (21.7%)","27 (26.5%)","0 (0%)","67 (23.7%)"
"  Not likely to affect","22 (16.4%)","9 (19.6%)","19 (18.6%)","1 (100%)","51 (18.0%)"
"  Somewhat likely to decrease","46 (34.3%)","8 (17.4%)","26 (25.5%)","0 (0%)","80 (28.3%)"
"  Very likely to decrease","18 (13.4%)","8 (17.4%)","11 (10.8%)","0 (0%)","37 (13.1%)"
"  Don't know","6 (4.5%)","7 (15.2%)","4 (3.9%)","0 (0%)","17 (6.0%)"
"  Missing","4 (3.0%)","0 (0%)","2 (2.0%)","0 (0%)","6 (2.1%)"
"Cannot be directly measured","","","","",""
"  Very likely to increase","6 (4.5%)","2 (4.3%)","5 (4.9%)","0 (0%)","13 (4.6%)"
"  Somewhat likely to increase","7 (5.2%)","3 (6.5%)","9 (8.8%)","0 (0%)","19 (6.7%)"
"  Not likely to affect","14 (10.4%)","5 (10.9%)","23 (22.5%)","1 (100%)","43 (15.2%)"
"  Somewhat likely to decrease","48 (35.8%)","11 (23.9%)","23 (22.5%)","0 (0%)","82 (29.0%)"
"  Very likely to decrease","46 (34.3%)","15 (32.6%)","31 (30.4%)","0 (0%)","92 (32.5%)"
"  Don't know","10 (7.5%)","10 (21.7%)","10 (9.8%)","0 (0%)","30 (10.6%)"
"  Missing","3 (2.2%)","0 (0%)","1 (1.0%)","0 (0%)","4 (1.4%)"
"Cannot be directly manipulated","","","","",""
"  Very likely to increase","6 (4.5%)","2 (4.3%)","6 (5.9%)","0 (0%)","14 (4.9%)"
"  Somewhat likely to increase","12 (9.0%)","4 (8.7%)","10 (9.8%)","0 (0%)","26 (9.2%)"
"  Not likely to affect","29 (21.6%)","6 (13.0%)","34 (33.3%)","1 (100%)","70 (24.7%)"
"  Somewhat likely to decrease","47 (35.1%)","10 (21.7%)","20 (19.6%)","0 (0%)","77 (27.2%)"
"  Very likely to decrease","20 (14.9%)","7 (15.2%)","15 (14.7%)","0 (0%)","42 (14.8%)"
"  Don't know","17 (12.7%)","17 (37.0%)","15 (14.7%)","0 (0%)","49 (17.3%)"
"  Missing","3 (2.2%)","0 (0%)","2 (2.0%)","0 (0%)","5 (1.8%)"
"Has multiple competing theoretical explanations","","","","",""
"  Very likely to increase","8 (6.0%)","4 (8.7%)","7 (6.9%)","0 (0%)","19 (6.7%)"
"  Somewhat likely to increase","17 (12.7%)","6 (13.0%)","23 (22.5%)","0 (0%)","46 (16.3%)"
"  Not likely to affect","52 (38.8%)","10 (21.7%)","30 (29.4%)","0 (0%)","92 (32.5%)"
"  Somewhat likely to decrease","39 (29.1%)","10 (21.7%)","25 (24.5%)","1 (100%)","75 (26.5%)"
"  Very likely to decrease","6 (4.5%)","7 (15.2%)","6 (5.9%)","0 (0%)","19 (6.7%)"
"  Don't know","8 (6.0%)","9 (19.6%)","9 (8.8%)","0 (0%)","26 (9.2%)"
"  Missing","4 (3.0%)","0 (0%)","2 (2.0%)","0 (0%)","6 (2.1%)"
