"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"","(N=76)","(N=113)","(N=42)","(N=49)","(N=3)","(N=283)"
"Spatially dependent upon itself","","","","","",""
"  Mean (SD)","-0.442 (1.21)","-0.245 (1.20)","-0.448 (1.27)","-0.159 (1.08)","-1.00 (1.00)","-0.311 (1.18)"
"  Median [Min, Max]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","0 [-2.00, 2.00]","-1.00 [-2.00, 0]","-1.00 [-2.00, 2.00]"
"  Missing","24 (31.6%)","19 (16.8%)","13 (31.0%)","5 (10.2%)","0 (0%)","61 (21.6%)"
"Strongly related with local conditions","","","","","",""
"  Mean (SD)","-0.923 (1.27)","-0.436 (1.37)","-0.667 (1.22)","-0.489 (1.23)","-1.67 (0.577)","-0.614 (1.31)"
"  Median [Min, Max]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-2.00 [-2.00, -1.00]","-1.00 [-2.00, 2.00]"
"  Missing","11 (14.5%)","3 (2.7%)","3 (7.1%)","2 (4.1%)","0 (0%)","19 (6.7%)"
"Exhibits variation across locations","","","","","",""
"  Mean (SD)","-0.123 (1.24)","-0.176 (1.22)","-0.256 (1.31)","-0.0222 (1.16)","0.333 (1.53)","-0.142 (1.23)"
"  Median [Min, Max]","0 [-2.00, 2.00]","0 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","0 [-2.00, 2.00]","0 [-1.00, 2.00]","0 [-2.00, 2.00]"
"  Missing","11 (14.5%)","5 (4.4%)","3 (7.1%)","4 (8.2%)","0 (0%)","23 (8.1%)"
"Cannot be directly measured","","","","","",""
"  Mean (SD)","-1.02 (1.11)","-0.860 (1.21)","-0.868 (1.17)","-0.795 (1.05)","-0.667 (1.15)","-0.888 (1.14)"
"  Median [Min, Max]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-1.00 [-2.00, 1.00]","0 [-2.00, 0]","-1.00 [-2.00, 2.00]"
"  Missing","12 (15.8%)","13 (11.5%)","4 (9.5%)","5 (10.2%)","0 (0%)","34 (12.0%)"
"Cannot be directly manipulated","","","","","",""
"  Mean (SD)","-0.579 (1.10)","-0.446 (1.11)","-0.571 (1.22)","-0.310 (1.02)","0 (0)","-0.467 (1.10)"
"  Median [Min, Max]","-1.00 [-2.00, 2.00]","-0.500 [-2.00, 2.00]","-1.00 [-2.00, 2.00]","-0.500 [-2.00, 2.00]","0 [0, 0]","-1.00 [-2.00, 2.00]"
"  Missing","19 (25.0%)","21 (18.6%)","7 (16.7%)","7 (14.3%)","0 (0%)","54 (19.1%)"
"Has multiple competing theoretical explanations","","","","","",""
"  Mean (SD)","-0.231 (1.09)","-0.0291 (1.03)","-0.263 (1.11)","0.0238 (0.924)","-0.667 (0.577)","-0.116 (1.04)"
"  Median [Min, Max]","0 [-2.00, 2.00]","0 [-2.00, 2.00]","-0.500 [-2.00, 2.00]","0 [-2.00, 2.00]","-1.00 [-1.00, 0]","0 [-2.00, 2.00]"
"  Missing","11 (14.5%)","10 (8.8%)","4 (9.5%)","7 (14.3%)","0 (0%)","32 (11.3%)"
