"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"","(N=76)","(N=113)","(N=42)","(N=49)","(N=3)","(N=283)"
"Pressure to publish original research","","","","","",""
"  Always","15 (19.7%)","33 (29.2%)","14 (33.3%)","11 (22.4%)","2 (66.7%)","75 (26.5%)"
"  Frequently","26 (34.2%)","49 (43.4%)","13 (31.0%)","24 (49.0%)","1 (33.3%)","113 (39.9%)"
"  Occasionally","12 (15.8%)","10 (8.8%)","3 (7.1%)","9 (18.4%)","0 (0%)","34 (12.0%)"
"  Rarely","4 (5.3%)","9 (8.0%)","2 (4.8%)","1 (2.0%)","0 (0%)","16 (5.7%)"
"  Never","1 (1.3%)","4 (3.5%)","1 (2.4%)","1 (2.0%)","0 (0%)","7 (2.5%)"
"  Don't know","18 (23.7%)","5 (4.4%)","9 (21.4%)","1 (2.0%)","0 (0%)","33 (11.7%)"
"  Missing","0 (0%)","3 (2.7%)","0 (0%)","2 (4.1%)","0 (0%)","5 (1.8%)"
"Low value of replication studies","","","","","",""
"  Always","12 (15.8%)","18 (15.9%)","9 (21.4%)","6 (12.2%)","1 (33.3%)","46 (16.3%)"
"  Frequently","20 (26.3%)","52 (46.0%)","16 (38.1%)","21 (42.9%)","1 (33.3%)","110 (38.9%)"
"  Occasionally","13 (17.1%)","24 (21.2%)","7 (16.7%)","10 (20.4%)","0 (0%)","54 (19.1%)"
"  Rarely","9 (11.8%)","9 (8.0%)","2 (4.8%)","4 (8.2%)","0 (0%)","24 (8.5%)"
"  Never","2 (2.6%)","1 (0.9%)","1 (2.4%)","3 (6.1%)","1 (33.3%)","8 (2.8%)"
"  Don't know","19 (25.0%)","6 (5.3%)","7 (16.7%)","3 (6.1%)","0 (0%)","35 (12.4%)"
"  Missing","1 (1.3%)","3 (2.7%)","0 (0%)","2 (4.1%)","0 (0%)","6 (2.1%)"
"Low chances of replicating a result","","","","","",""
"  Always","6 (7.9%)","3 (2.7%)","2 (4.8%)","3 (6.1%)","2 (66.7%)","16 (5.7%)"
"  Frequently","16 (21.1%)","30 (26.5%)","11 (26.2%)","13 (26.5%)","0 (0%)","70 (24.7%)"
"  Occasionally","18 (23.7%)","35 (31.0%)","13 (31.0%)","19 (38.8%)","0 (0%)","85 (30.0%)"
"  Rarely","14 (18.4%)","24 (21.2%)","6 (14.3%)","6 (12.2%)","1 (33.3%)","51 (18.0%)"
"  Never","4 (5.3%)","6 (5.3%)","2 (4.8%)","2 (4.1%)","0 (0%)","14 (4.9%)"
"  Don't know","17 (22.4%)","11 (9.7%)","8 (19.0%)","3 (6.1%)","0 (0%)","39 (13.8%)"
"  Missing","1 (1.3%)","4 (3.5%)","0 (0%)","3 (6.1%)","0 (0%)","8 (2.8%)"
"Lack of experience conducting replications","","","","","",""
"  Always","3 (3.9%)","7 (6.2%)","4 (9.5%)","4 (8.2%)","1 (33.3%)","19 (6.7%)"
"  Frequently","22 (28.9%)","24 (21.2%)","17 (40.5%)","20 (40.8%)","1 (33.3%)","84 (29.7%)"
"  Occasionally","16 (21.1%)","30 (26.5%)","6 (14.3%)","11 (22.4%)","1 (33.3%)","64 (22.6%)"
"  Rarely","9 (11.8%)","28 (24.8%)","6 (14.3%)","9 (18.4%)","0 (0%)","52 (18.4%)"
"  Never","2 (2.6%)","4 (3.5%)","3 (7.1%)","1 (2.0%)","0 (0%)","10 (3.5%)"
"  Don't know","23 (30.3%)","16 (14.2%)","6 (14.3%)","2 (4.1%)","0 (0%)","47 (16.6%)"
"  Missing","1 (1.3%)","4 (3.5%)","0 (0%)","2 (4.1%)","0 (0%)","7 (2.5%)"
"Difficult publishing peer-reviewed replications","","","","","",""
"  Always","10 (13.2%)","16 (14.2%)","10 (23.8%)","11 (22.4%)","2 (66.7%)","49 (17.3%)"
"  Frequently","28 (36.8%)","41 (36.3%)","14 (33.3%)","13 (26.5%)","0 (0%)","96 (33.9%)"
"  Occasionally","10 (13.2%)","23 (20.4%)","7 (16.7%)","12 (24.5%)","0 (0%)","52 (18.4%)"
"  Rarely","3 (3.9%)","14 (12.4%)","2 (4.8%)","4 (8.2%)","1 (33.3%)","24 (8.5%)"
"  Never","4 (5.3%)","4 (3.5%)","2 (4.8%)","0 (0%)","0 (0%)","10 (3.5%)"
"  Don't know","20 (26.3%)","11 (9.7%)","7 (16.7%)","7 (14.3%)","0 (0%)","45 (15.9%)"
"  Missing","1 (1.3%)","4 (3.5%)","0 (0%)","2 (4.1%)","0 (0%)","7 (2.5%)"
"Difficulty accessing/creating relevant data","","","","","",""
"  Always","9 (11.8%)","9 (8.0%)","9 (21.4%)","6 (12.2%)","1 (33.3%)","34 (12.0%)"
"  Frequently","32 (42.1%)","45 (39.8%)","17 (40.5%)","22 (44.9%)","2 (66.7%)","118 (41.7%)"
"  Occasionally","12 (15.8%)","34 (30.1%)","10 (23.8%)","12 (24.5%)","0 (0%)","68 (24.0%)"
"  Rarely","5 (6.6%)","13 (11.5%)","1 (2.4%)","4 (8.2%)","0 (0%)","23 (8.1%)"
"  Never","2 (2.6%)","3 (2.7%)","1 (2.4%)","1 (2.0%)","0 (0%)","7 (2.5%)"
"  Don't know","15 (19.7%)","6 (5.3%)","4 (9.5%)","2 (4.1%)","0 (0%)","27 (9.5%)"
