"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Pressure to publish original research","","","","",""
"  Always","38 (28.4%)","11 (23.9%)","25 (24.5%)","1 (100%)","75 (26.5%)"
"  Frequently","64 (47.8%)","9 (19.6%)","40 (39.2%)","0 (0%)","113 (39.9%)"
"  Occasionally","13 (9.7%)","4 (8.7%)","17 (16.7%)","0 (0%)","34 (12.0%)"
"  Rarely","6 (4.5%)","3 (6.5%)","7 (6.9%)","0 (0%)","16 (5.7%)"
"  Never","4 (3.0%)","1 (2.2%)","2 (2.0%)","0 (0%)","7 (2.5%)"
"  Don't know","7 (5.2%)","18 (39.1%)","8 (7.8%)","0 (0%)","33 (11.7%)"
"  Missing","2 (1.5%)","0 (0%)","3 (2.9%)","0 (0%)","5 (1.8%)"
"Low value of replication studies","","","","",""
"  Always","31 (23.1%)","7 (15.2%)","8 (7.8%)","0 (0%)","46 (16.3%)"
"  Frequently","56 (41.8%)","10 (21.7%)","44 (43.1%)","0 (0%)","110 (38.9%)"
"  Occasionally","21 (15.7%)","7 (15.2%)","26 (25.5%)","0 (0%)","54 (19.1%)"
"  Rarely","6 (4.5%)","2 (4.3%)","16 (15.7%)","0 (0%)","24 (8.5%)"
"  Never","6 (4.5%)","0 (0%)","1 (1.0%)","1 (100%)","8 (2.8%)"
"  Don't know","11 (8.2%)","20 (43.5%)","4 (3.9%)","0 (0%)","35 (12.4%)"
"  Missing","3 (2.2%)","0 (0%)","3 (2.9%)","0 (0%)","6 (2.1%)"
"Low chances of replicating a result","","","","",""
"  Always","8 (6.0%)","4 (8.7%)","4 (3.9%)","0 (0%)","16 (5.7%)"
"  Frequently","33 (24.6%)","9 (19.6%)","28 (27.5%)","0 (0%)","70 (24.7%)"
"  Occasionally","42 (31.3%)","11 (23.9%)","32 (31.4%)","0 (0%)","85 (30.0%)"
"  Rarely","26 (19.4%)","4 (8.7%)","20 (19.6%)","1 (100%)","51 (18.0%)"
"  Never","7 (5.2%)","1 (2.2%)","6 (5.9%)","0 (0%)","14 (4.9%)"
"  Don't know","14 (10.4%)","17 (37.0%)","8 (7.8%)","0 (0%)","39 (13.8%)"
"  Missing","4 (3.0%)","0 (0%)","4 (3.9%)","0 (0%)","8 (2.8%)"
