"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"","(N=76)","(N=113)","(N=42)","(N=49)","(N=3)","(N=283)"
"Pressure to publish original research","","","","","",""
"  Mean (SD)","2.86 (0.945)","2.93 (1.05)","3.12 (1.02)","2.93 (0.854)","3.67 (0.577)","2.95 (0.982)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","4.00 [3.00, 4.00]","3.00 [0, 4.00]"
"  Missing","18 (23.7%)","8 (7.1%)","9 (21.4%)","3 (6.1%)","0 (0%)","38 (13.4%)"
"Low value of replication studies","","","","","",""
"  Mean (SD)","2.55 (1.11)","2.74 (0.881)","2.86 (0.974)","2.52 (1.07)","2.33 (2.08)","2.67 (1.00)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]"
"  Missing","20 (26.3%)","9 (8.0%)","7 (16.7%)","5 (10.2%)","0 (0%)","41 (14.5%)"
"Low chances of replicating a result","","","","","",""
"  Mean (SD)","2.10 (1.10)","2.00 (0.963)","2.15 (0.989)","2.21 (0.940)","3.00 (1.73)","2.10 (1.01)"
"  Median [Min, Max]","2.00 [0, 4.00]","2.00 [0, 4.00]","2.00 [0, 4.00]","2.00 [0, 4.00]","4.00 [1.00, 4.00]","2.00 [0, 4.00]"
"  Missing","18 (23.7%)","15 (13.3%)","8 (19.0%)","6 (12.2%)","0 (0%)","47 (16.6%)"
"Lack of experience conducting replications","","","","","",""
"  Mean (SD)","2.29 (0.957)","2.02 (1.02)","2.36 (1.15)","2.38 (0.984)","3.00 (1.00)","2.22 (1.03)"
"  Median [Min, Max]","2.00 [0, 4.00]","2.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [2.00, 4.00]","2.00 [0, 4.00]"
"  Missing","24 (31.6%)","20 (17.7%)","6 (14.3%)","4 (8.2%)","0 (0%)","54 (19.1%)"
"Difficult publishing peer-reviewed replications","","","","","",""
"  Mean (SD)","2.67 (1.07)","2.52 (1.06)","2.80 (1.11)","2.78 (0.974)","3.00 (1.73)","2.65 (1.06)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [1.00, 4.00]","4.00 [1.00, 4.00]","3.00 [0, 4.00]"
"  Missing","21 (27.6%)","15 (13.3%)","7 (16.7%)","9 (18.4%)","0 (0%)","52 (18.4%)"
"Difficulty accessing/creating relevant data","","","","","",""
"  Mean (SD)","2.68 (0.948)","2.42 (0.921)","2.84 (0.916)","2.62 (0.912)","3.33 (0.577)","2.60 (0.932)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [3.00, 4.00]","3.00 [0, 4.00]"
"  Missing","16 (21.1%)","9 (8.0%)","4 (9.5%)","4 (8.2%)","0 (0%)","33 (11.7%)"
"Insufficient information about original methods","","","","","",""
"  Mean (SD)","2.46 (0.934)","2.38 (0.926)","2.55 (0.828)","2.61 (1.06)","3.00 (1.00)","2.47 (0.941)"
"  Median [Min, Max]","3.00 [1.00, 4.00]","2.00 [0, 4.00]","3.00 [1.00, 4.00]","3.00 [0, 4.00]","3.00 [2.00, 4.00]","3.00 [0, 4.00]"
"  Missing","17 (22.4%)","9 (8.0%)","4 (9.5%)","3 (6.1%)","0 (0%)","33 (11.7%)"
"Difficulty recreating similar procedures","","","","","",""
"  Mean (SD)","2.52 (0.934)","2.28 (0.901)","2.41 (0.785)","2.56 (0.967)","2.67 (0.577)","2.41 (0.902)"
"  Median [Min, Max]","3.00 [1.00, 4.00]","2.00 [0, 4.00]","2.00 [1.00, 4.00]","3.00 [0, 4.00]","3.00 [2.00, 3.00]","2.00 [0, 4.00]"
"  Missing","20 (26.3%)","10 (8.8%)","3 (7.1%)","4 (8.2%)","0 (0%)","37 (13.1%)"
"Lack of funding for replication studies","","","","","",""
"  Mean (SD)","2.74 (0.994)","2.93 (1.02)","3.17 (0.878)","2.79 (0.965)","3.00 (1.73)","2.90 (0.992)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [1.00, 4.00]","3.00 [1.00, 4.00]","4.00 [1.00, 4.00]","3.00 [0, 4.00]"
"  Missing","22 (28.9%)","17 (15.0%)","6 (14.3%)","6 (12.2%)","0 (0%)","51 (18.0%)"
"Fabrication of data or results by original authors","","","","","",""
"  Mean (SD)","1.95 (1.32)","1.63 (1.18)","1.79 (1.40)","1.93 (1.01)","0.333 (0.577)","1.75 (1.23)"
"  Median [Min, Max]","2.00 [0, 4.00]","1.00 [0, 4.00]","1.00 [0, 4.00]","2.00 [0, 4.00]","0 [0, 1.00]","1.00 [0, 4.00]"
"  Missing","35 (46.1%)","26 (23.0%)","14 (33.3%)","19 (38.8%)","0 (0%)","94 (33.2%)"
"Ethical concerns","","","","","",""
"  Mean (SD)","1.52 (1.14)","1.43 (1.17)","1.66 (1.21)","1.44 (1.08)","1.00 (1.00)","1.48 (1.15)"
