"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Pressure to publish original research","","","","",""
"  Mean (SD)","3.01 (0.946)","2.93 (1.15)","2.87 (0.980)","4.00 (NA)","2.95 (0.982)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","4.00 [4.00, 4.00]","3.00 [0, 4.00]"
"  Missing","9 (6.7%)","18 (39.1%)","11 (10.8%)","0 (0%)","38 (13.4%)"
"Low value of replication studies","","","","",""
"  Mean (SD)","2.83 (1.03)","2.85 (0.925)","2.44 (0.908)","0 (NA)","2.67 (1.00)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [1.00, 4.00]","3.00 [0, 4.00]","0 [0, 0]","3.00 [0, 4.00]"
"  Missing","14 (10.4%)","20 (43.5%)","7 (6.9%)","0 (0%)","41 (14.5%)"
"Low chances of replicating a result","","","","",""
"  Mean (SD)","2.08 (1.01)","2.38 (1.01)","2.04 (0.993)","1.00 (NA)","2.10 (1.01)"
"  Median [Min, Max]","2.00 [0, 4.00]","2.00 [0, 4.00]","2.00 [0, 4.00]","1.00 [1.00, 1.00]","2.00 [0, 4.00]"
"  Missing","18 (13.4%)","17 (37.0%)","12 (11.8%)","0 (0%)","47 (16.6%)"
"Lack of experience conducting replications","","","","",""
"  Mean (SD)","2.19 (1.06)","2.48 (0.823)","2.18 (1.04)","3.00 (NA)","2.22 (1.03)"
"  Median [Min, Max]","2.00 [0, 4.00]","3.00 [1.00, 4.00]","2.00 [0, 4.00]","3.00 [3.00, 3.00]","2.00 [0, 4.00]"
"  Missing","16 (11.9%)","21 (45.7%)","17 (16.7%)","0 (0%)","54 (19.1%)"
"Difficult publishing peer-reviewed replications","","","","",""
"  Mean (SD)","2.81 (1.07)","2.69 (1.12)","2.45 (1.00)","1.00 (NA)","2.65 (1.06)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","1.00 [1.00, 1.00]","3.00 [0, 4.00]"
"  Missing","19 (14.2%)","20 (43.5%)","13 (12.7%)","0 (0%)","52 (18.4%)"
"Difficulty accessing/creating relevant data","","","","",""
"  Mean (SD)","2.61 (0.938)","2.63 (0.928)","2.56 (0.938)","3.00 (NA)","2.60 (0.932)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [3.00, 3.00]","3.00 [0, 4.00]"
"  Missing","11 (8.2%)","16 (34.8%)","6 (5.9%)","0 (0%)","33 (11.7%)"
"Insufficient information about original methods","","","","",""
"  Mean (SD)","2.52 (0.953)","2.41 (0.907)","2.43 (0.945)","3.00 (NA)","2.47 (0.941)"
"  Median [Min, Max]","3.00 [0, 4.00]","2.00 [1.00, 4.00]","2.50 [0, 4.00]","3.00 [3.00, 3.00]","3.00 [0, 4.00]"
"  Missing","8 (6.0%)","17 (37.0%)","8 (7.8%)","0 (0%)","33 (11.7%)"
"Difficulty recreating similar procedures","","","","",""
"  Mean (SD)","2.49 (0.879)","2.38 (0.979)","2.30 (0.911)","3.00 (NA)","2.41 (0.902)"
"  Median [Min, Max]","3.00 [0, 4.00]","2.00 [1.00, 4.00]","2.00 [0, 4.00]","3.00 [3.00, 3.00]","2.00 [0, 4.00]"
"  Missing","10 (7.5%)","17 (37.0%)","10 (9.8%)","0 (0%)","37 (13.1%)"
"Lack of funding for replication studies","","","","",""
"  Mean (SD)","2.96 (0.946)","2.86 (1.11)","2.85 (1.01)","1.00 (NA)","2.90 (0.992)"
"  Median [Min, Max]","3.00 [0, 4.00]","3.00 [0, 4.00]","3.00 [0, 4.00]","1.00 [1.00, 1.00]","3.00 [0, 4.00]"
"  Missing","16 (11.9%)","18 (39.1%)","17 (16.7%)","0 (0%)","51 (18.0%)"
"Fabrication of data or results by original authors","","","","",""
"  Mean (SD)","1.80 (1.25)","1.50 (1.21)","1.76 (1.20)","0 (NA)","1.75 (1.23)"
"  Median [Min, Max]","1.50 [0, 4.00]","1.00 [0, 4.00]","1.00 [0, 4.00]","0 [0, 0]","1.00 [0, 4.00]"
"  Missing","42 (31.3%)","30 (65.2%)","22 (21.6%)","0 (0%)","94 (33.2%)"
"Ethical concerns","","","","",""
"  Mean (SD)","1.28 (1.12)","1.67 (0.920)","1.68 (1.21)","0 (NA)","1.48 (1.15)"
"  Median [Min, Max]","1.00 [0, 4.00]","2.00 [0, 3.00]","1.00 [0, 4.00]","0 [0, 0]","1.00 [0, 4.00]"
"  Missing","32 (23.9%)","19 (41.3%)","17 (16.7%)","0 (0%)","68 (24.0%)"
"Known spatial variation in phenomena being studied","","","","",""
"  Mean (SD)","2.05 (1.14)","2.73 (0.767)","2.38 (0.955)","1.00 (NA)","2.25 (1.05)"
"  Median [Min, Max]","2.00 [0, 4.00]","3.00 [1.00, 4.00]","2.00 [0, 4.00]","1.00 [1.00, 1.00]","2.00 [0, 4.00]"
"  Missing","30 (22.4%)","24 (52.2%)","15 (14.7%)","0 (0%)","69 (24.4%)"
