"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Percent of recent studies that have been replicated","","","","",""
"  Mean (SD)","22.4 (17.4)","25.1 (30.9)","31.3 (25.2)","80.0 (NA)","26.5 (23.0)"
"  Median [Min, Max]","19.5 [0, 70.0]","10.0 [0, 80.0]","23.0 [0, 91.0]","80.0 [80.0, 80.0]","20.0 [0, 91.0]"
"  Missing","50 (37.3%)","27 (58.7%)","35 (34.3%)","0 (0%)","112 (39.6%)"
"Please estimate the percentage of recent studies in your sub-field that could be replicated. - Percentage","","","","",""
"  Mean (SD)","57.3 (23.3)","42.3 (27.5)","55.2 (23.5)","95.0 (NA)","55.0 (24.3)"
"  Median [Min, Max]","60.0 [10.0, 100]","50.0 [0, 80.0]","51.0 [10.0, 100]","95.0 [95.0, 95.0]","58.0 [0, 100]"
"  Missing","25 (18.7%)","23 (50.0%)","26 (25.5%)","0 (0%)","74 (26.1%)"
"Please estimate the percentage of recent studies published in your sub-field that should be replicated. - Percentage","","","","",""
"  Mean (SD)","58.2 (26.6)","35.6 (29.9)","59.5 (25.4)","100 (NA)","55.9 (27.7)"
"  Median [Min, Max]","60.0 [0, 100]","30.0 [0, 100]","61.0 [9.00, 100]","100 [100, 100]","60.0 [0, 100]"
"  Missing","30 (22.4%)","18 (39.1%)","25 (24.5%)","0 (0%)","73 (25.8%)"
