"X.","Human","Physical","Nature.society","Methods","Other","Overall"
"","(N=76)","(N=113)","(N=42)","(N=49)","(N=3)","(N=283)"
"Thought about the replicability of your research","","","","","",""
"  Don't Know","1 (1.3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (0.4%)"
"  No","30 (39.5%)","17 (15.0%)","12 (28.6%)","11 (22.4%)","0 (0%)","70 (24.7%)"
"  Yes","45 (59.2%)","94 (83.2%)","30 (71.4%)","37 (75.5%)","3 (100%)","209 (73.9%)"
"  Missing","0 (0%)","2 (1.8%)","0 (0%)","1 (2.0%)","0 (0%)","3 (1.1%)"
"Spoken with colleagues about replicability","","","","","",""
"  No","37 (48.7%)","32 (28.3%)","11 (26.2%)","13 (26.5%)","1 (33.3%)","94 (33.2%)"
"  Yes","39 (51.3%)","77 (68.1%)","31 (73.8%)","35 (71.4%)","2 (66.7%)","184 (65.0%)"
"  Don't Know","0 (0%)","2 (1.8%)","0 (0%)","0 (0%)","0 (0%)","2 (0.7%)"
"  Missing","0 (0%)","2 (1.8%)","0 (0%)","1 (2.0%)","0 (0%)","3 (1.1%)"
"Questioned the replicability of published research","","","","","",""
"  No","36 (47.4%)","22 (19.5%)","20 (47.6%)","19 (38.8%)","0 (0%)","97 (34.3%)"
"  Yes","39 (51.3%)","84 (74.3%)","21 (50.0%)","29 (59.2%)","3 (100%)","176 (62.2%)"
"  Don't Know","0 (0%)","5 (4.4%)","1 (2.4%)","0 (0%)","0 (0%)","6 (2.1%)"
"  Missing","1 (1.3%)","2 (1.8%)","0 (0%)","1 (2.0%)","0 (0%)","4 (1.4%)"
"Considered replicability while peer reviewing a research proposal or publication","","","","","",""
"  No","45 (59.2%)","33 (29.2%)","15 (35.7%)","12 (24.5%)","2 (66.7%)","107 (37.8%)"
"  Yes","31 (40.8%)","72 (63.7%)","27 (64.3%)","36 (73.5%)","1 (33.3%)","167 (59.0%)"
"  Don't Know","0 (0%)","6 (5.3%)","0 (0%)","0 (0%)","0 (0%)","6 (2.1%)"
"  Missing","0 (0%)","2 (1.8%)","0 (0%)","1 (2.0%)","0 (0%)","3 (1.1%)"
"Attempted to replicate prior research claims","","","","","",""
"  Don't Know","2 (2.6%)","4 (3.5%)","0 (0%)","0 (0%)","0 (0%)","6 (2.1%)"
"  No","53 (69.7%)","72 (63.7%)","28 (66.7%)","30 (61.2%)","1 (33.3%)","184 (65.0%)"
"  Yes","21 (27.6%)","35 (31.0%)","14 (33.3%)","18 (36.7%)","2 (66.7%)","90 (31.8%)"
"  Missing","0 (0%)","2 (1.8%)","0 (0%)","1 (2.0%)","0 (0%)","3 (1.1%)"
