"X.","Quantitative","Qualitative","Mixed.Methods","NA.","Overall"
"","(N=134)","(N=46)","(N=102)","(N=1)","(N=283)"
"Thought about the replicability of your research","","","","",""
"  No","25 (18.7%)","23 (50.0%)","22 (21.6%)","0 (0%)","70 (24.7%)"
"  Yes","108 (80.6%)","22 (47.8%)","78 (76.5%)","1 (100%)","209 (73.9%)"
"  Missing","1 (0.7%)","1 (2.2%)","2 (2.0%)","0 (0%)","4 (1.4%)"
"Spoken with colleagues about replicability","","","","",""
"  No","38 (28.4%)","29 (63.0%)","27 (26.5%)","0 (0%)","94 (33.2%)"
"  Yes","94 (70.1%)","17 (37.0%)","72 (70.6%)","1 (100%)","184 (65.0%)"
"  Missing","2 (1.5%)","0 (0%)","3 (2.9%)","0 (0%)","5 (1.8%)"
"Questioned the replicability of published research","","","","",""
"  No","38 (28.4%)","30 (65.2%)","29 (28.4%)","0 (0%)","97 (34.3%)"
"  Yes","94 (70.1%)","16 (34.8%)","65 (63.7%)","1 (100%)","176 (62.2%)"
"  Missing","2 (1.5%)","0 (0%)","8 (7.8%)","0 (0%)","10 (3.5%)"
"Considered replicability while peer reviewing a research proposal or publication","","","","",""
"  No","45 (33.6%)","34 (73.9%)","28 (27.5%)","0 (0%)","107 (37.8%)"
"  Yes","85 (63.4%)","11 (23.9%)","70 (68.6%)","1 (100%)","167 (59.0%)"
"  Missing","4 (3.0%)","1 (2.2%)","4 (3.9%)","0 (0%)","9 (3.2%)"
"Attempted to replicate prior research claims","","","","",""
"  No","83 (61.9%)","37 (80.4%)","64 (62.7%)","0 (0%)","184 (65.0%)"
"  Yes","45 (33.6%)","9 (19.6%)","35 (34.3%)","1 (100%)","90 (31.8%)"
"  Missing","6 (4.5%)","0 (0%)","3 (2.9%)","0 (0%)","9 (3.2%)"
